 No.	Product	PartNr	Kanban	PartType(KB Type)	Position	ActualQuantity	BundleQuantity	BatchQuantity	KanBanPosition	RouteNr	ChangeQty
243	91C540401	91C540401360	427210/427211	BlueCard	Remark1	100	100	100	Remark1	360	N
244	91C540901	91C54090190	427226	WhiteCard	Remark1	300	100	100	Remark1	90	Y
245	91C540001	91C540001155	427745/427746	BlueCard	Remark1	100	100	100	Remark1	155	N
246	91C540301	91C540301206	426131/426132	BlueCard	Remark1	1400	100	100	Remark1	206	Y
247	91C535701	91C535701105	426834/426835	BlueCard	Remark1	100	100	100	Remark1	105	N
248	91C540301	91C540301160	427170	WhiteCard	Remark1	300	100	100	Remark1	160	Y
249	91C604901	91C6049012445	311357/311358	BlueCard	Remark1	300	100	100	Remark1	2445	Y
250	91C535701	91C535701207	426836/426837	BlueCard	Remark1	100	100	100	Remark1	207	N
251	91C540301	91C540301130	423671	WhiteCard	Remark1	100	100	100	Remark1	130	N
252	91C541001	91C541001110	427222	WhiteCard	Remark1	900	100	100	Remark1	110	Y
253	91C526902	91C526902115	425015	WhiteCard	Remark1	100	100	100	Remark1	115	N
254	91C602301	91C602301880	268510/268511	BlueCard	Remark1	300	100	100	Remark1	880	Y
255	91C528602	91C52860275	424276/424277	BlueCard	Remark1	100	100	100	Remark1	75	N
256	91C526902	91C526902125	425019/425020	BlueCard	Remark1	500	100	100	Remark1	125	Y
257	91C532901	91C53290125	399049	WhiteCard	Remark1	200	100	100	Remark1	25	Y
258	91C526902	91C526902145	426682	WhiteCard	Remark1	1000	100	100	Remark1	145	Y
259	91C604301	91C604301520	269108/269109	BlueCard	Remark1	300	100	100	Remark1	520	Y
260	91C540301	91C540301180	427168	WhiteCard	Remark1	300	100	100	Remark1	180	Y
261	91C534101	91C53410122	399211/399212	BlueCard	Remark1	200	100	100	Remark1	22	Y
262	91C602301	91C6023012020	349630	WhiteCard	Remark1	300	100	100	Remark1	2020	Y
263	91C541401	91C54140125	427252	WhiteCard	Remark1	500	100	100	Remark1	25	Y
264	91C604301	91C6043011025	271599	WhiteCard	Remark1	300	100	100	Remark1	1025	Y
265	91C526902	91C52690260	426676	WhiteCard	Remark1	400	100	100	Remark1	60	Y
266	91C535501	91C535501125	426718	WhiteCard	Remark1	700	100	100	Remark1	125	Y
267	91C535501	91C535501105	423669	WhiteCard	Remark1	700	100	100	Remark1	105	Y
268	91C535001	91C535001285	426628	WhiteCard	Remark1	100	100	100	Remark1	285	N
269	91C528402	91C52840225	426904	WhiteCard	Remark1	300	100	100	Remark1	25	Y
270	91C528402	91C52840215	423914	WhiteCard	Remark1	100	100	100	Remark1	15	N
271	91C526902	91C526902120	425017	WhiteCard	Remark1	200	100	100	Remark1	120	Y
272	91C526902	91C52690238	426690/426691	BlueCard	Remark1	700	100	100	Remark1	38	Y
273	91C539701	91C539701240	427040	WhiteCard	Remark1	200	100	100	Remark1	240	Y
274	91C535001	91C535001845	424390	WhiteCard	Remark1	300	100	100	Remark1	845	Y
275	91C511601	91C511601130	364195	WhiteCard	Remark1	100	100	100	Remark1	130	N
276	91C604901	91C6049011980	311281/311282	BlueCard	Remark1	100	100	100	Remark1	1980	N
277	91C526902	91C52690235	426674	WhiteCard	Remark1	400	100	100	Remark1	35	Y
278	91C539501	91C53950110	426884/426885	BlueCard	Remark1	800	100	100	Remark1	10	Y
279	91C535001	91C535001970	424394	WhiteCard	Remark1	400	100	100	Remark1	970	Y
280	91C530002	91C53000280	427000	WhiteCard	Remark1	400	100	100	Remark1	80	Y
281	91C541001	91C541001210	423870	WhiteCard	Remark1	700	100	100	Remark1	210	Y
282	91C535001	91C535001990	423729	WhiteCard	Remark1	200	100	100	Remark1	990	Y
283	91C526902	91C52690295	425027/425028	BlueCard	Remark1	200	100	100	Remark1	95	Y
284	91C535501	91C535501318	426798/426799	BlueCard	Remark1	300	100	100	Remark1	318	Y
285	91C540301	91C540301385	423477/423478	BlueCard	Remark1	900	100	100	Remark1	385	Y
286	91C534802	91C53480210	427731/427732	BlueCard	Remark1	700	100	100	Remark1	10	Y
287	91C535501	91C535501360	426768	WhiteCard	Remark1	300	100	100	Remark1	360	Y
288	91C533901	91C53390135	399185	WhiteCard	Remark1	200	100	100	Remark1	35	Y
289	91C535501	91C535501320	426766	WhiteCard	Remark1	700	100	100	Remark1	320	Y
